report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
150041433,2015-01-03,54 PEACHTREE PARK DR,BURGLARY-NONRES,Brookwood Hills,33.81296,-84.39082999999998
150052213,2015-01-05,2284 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81664,-84.39010999999998
150052882,2015-01-05,2143 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81262,-84.39194999999998
150060672,2015-01-05,2980 DELMAR LN NW,ROBBERY-RESIDENCE,Stratford,33.75517,-84.48480999999998
150060757,2015-01-06,1718 HADLOCK ST SW,AUTO THEFT,None,33.7086,-84.44583
150062606,2015-01-06,3766 CAMPBELLTON RD SW,AUTO THEFT,None,33.69058,-84.51191
150061004,2015-01-06,1591 FAIRBURN RD SW,LARCENY-FROM VEHICLE,None,33.71008,-84.50669
150061575,2015-01-06,1968 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.80901,-84.39341999999998
150060924,2014-12-31,2045 PEACHTREE RD NE,BURGLARY-NONRES,Brookwood,33.810179999999995,-84.39269
150061450,2015-01-06,1066 FAYETTEVILLE RD SE,BURGLARY-NONRES,Eastland Heights,33.72513,-84.32298
150062012,2015-01-06,3150 MIDDLETON RD NW,BURGLARY-RESIDENCE,Stratford,33.751909999999995,-84.49084999999998
150072811,2015-01-07,62 HARWELL RD NW,AGG ASSAULT,None,33.753840000000004,-84.49353
150072583,2015-01-07,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
150082624,2015-01-08,1977 MARTIN L KING JR DR NW,AUTO THEFT,Battle Hill Haven,33.75065,-84.44767
150081349,2015-01-08,3193 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,None,33.842220000000005,-84.42766999999998
150083017,2015-01-08,1019 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81187,-84.42057
150081314,2015-01-08,3540 N CAMP CREEK PKWY SW,AGG ASSAULT,None,33.67051,-84.50298999999998
150091043,2015-01-06,25 DELMOOR DR NW,BURGLARY-RESIDENCE,None,33.75635,-84.48945999999998
150093123,2015-01-09,2197 COLLEGE AVE NE,LARCENY-FROM VEHICLE,Kirkwood,33.764509999999994,-84.31530999999998
150091680,2015-01-09,3155 HICKMAN DR NW,LARCENY-NON VEHICLE,Stratford,33.75507,-84.49028
150101167,2015-01-10,1783 STANTON RD SW,AGG ASSAULT,None,33.70691,-84.44415999999998
150101904,2015-01-10,COUNTY LINE RD SW / CAMPBELLTON RD SW,AUTO THEFT,None,33.69597,-84.53535999999998
150112033,2015-01-11,545 BROWNLEE RD SW,BURGLARY-RESIDENCE,None,33.74109,-84.49722
150110314,2015-01-11,1631 STANTON RD SW,LARCENY-FROM VEHICLE,None,33.71076,-84.44379999999998
150111308,2015-01-11,2125 NORTHSIDE DR NW,LARCENY-FROM VEHICLE,None,33.813559999999995,-84.40760999999998
150111675,2015-01-11,1193 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81172,-84.42449999999998
150111329,2015-01-11,62 HARWELL RD NW,AUTO THEFT,None,33.7538,-84.49299999999998
150111460,2015-01-11,3020 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75527,-84.48577
